fdc_id,description,category,ingredients,serving_description,serving_size_g,Ash (G),"Calcium, Ca (G)","Carbohydrate, by difference (G)","Copper, Cu (G)",Energy (Atwater General Factors) (KCAL),Energy (Atwater Specific Factors) (KCAL),"Fiber, total dietary (G)","Iron, Fe (G)","Magnesium, Mg (G)","Manganese, Mn (G)",Niacin (G),Nitrogen (G),"Phosphorus, P (G)","Potassium, K (G)",Protein (G),"Sodium, Na (G)",Thiamin (G),Total lipid (fat) (G),Vitamin B-6 (G),Water (G),"Zinc, Zn (G)"
332597,"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",Fruits and Fruit Juices,[],1.0 each,230.0000,0.6900,0.0184,34.7300,0.0002,-1.0000,-1.0000,7.1300,0.0004,0.0131,0.0001,0.0004,0.1380,0.0230,0.2001,0.8740,0.0161,0.0000,0.3680,0.0001,193.4300,0.0002
324653,"Pickles, cucumber, dill or kosher dill",Vegetables and Vegetable Products,[],1.0 spear,40.4000,0.9858,0.0218,0.8040,0.0000,5.6560,4.8480,0.4040,0.0001,0.0029,0.0000,0.0000,0.0323,0.0065,0.0452,0.1939,0.3264,0.0000,0.1737,0.0000,38.2588,0.0000
749420,"Pork, cured, bacon, cooked, restaurant",Pork Products,[],1.0 slice,6.3000,0.3988,0.0008,0.1323,0.0000,31.5630,32.2560,-1.0000,0.0001,0.0023,0.0000,-1.0000,0.4120,0.0261,0.0351,2.5767,0.1153,-1.0000,2.2995,-1.0000,0.8946,0.0002
334536,"Restaurant, Chinese, fried rice, without meat",Restaurant Foods,[],1.0 cup,133.0000,1.5029,0.0146,43.2250,0.0001,231.4200,-1.0000,-1.0000,0.0006,0.0129,0.0006,-1.0000,0.8113,0.0585,0.0918,5.1072,0.4801,-1.0000,4.2427,-1.0000,78.8690,0.0009
334462,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,[],1.0 order,611.0000,7.6375,0.2811,155.8050,0.0004,-1.0000,-1.0000,6.1100,0.0188,0.0794,0.0011,0.0129,8.6762,0.8126,0.9287,54.2568,1.8574,0.0014,83.0960,0.0010,310.3880,0.0065
746774,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,[],1.0 order,611.0000,7.6375,0.2811,155.8050,0.0004,1588.6000,-1.0000,6.1100,0.0188,0.0794,0.0011,0.0129,8.6762,0.8126,0.9287,54.2568,1.8574,0.0014,83.0960,0.0010,310.3880,0.0065
334462,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,[],3.0 pieces,41.8000,0.5225,0.0192,10.6590,0.0000,-1.0000,-1.0000,0.4180,0.0013,0.0054,0.0001,0.0009,0.5936,0.0556,0.0635,3.7118,0.1271,0.0001,5.6848,0.0001,21.2344,0.0004
746774,"Restaurant, Chinese, sweet and sour pork",Restaurant Foods,[],3.0 pieces,41.8000,0.5225,0.0192,10.6590,0.0000,108.6800,-1.0000,0.4180,0.0013,0.0054,0.0001,0.0009,0.5936,0.0556,0.0635,3.7118,0.1271,0.0001,5.6848,0.0001,21.2344,0.0004
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",Restaurant Foods,[],1.0 piece,126.0000,2.1924,0.0643,39.6900,0.0002,288.5400,-1.0000,7.3080,0.0018,0.0675,0.0004,0.0011,1.1340,0.1814,0.3843,7.0434,0.3843,0.0001,11.3526,0.0002,65.7720,0.0012
334628,"Restaurant, Latino, tamale, pork",Restaurant Foods,[],1.0 piece,142.0000,2.5844,0.1065,22.4360,0.0001,247.0800,-1.0000,3.4080,0.0012,0.0372,0.0003,0.0018,1.6756,0.1704,0.2158,10.4796,0.6717,0.0001,12.8368,0.0002,93.7200,0.0017
321505,"Salt, table, iodized",Spices and Herbs,[],1.0 teaspoon,6.1000,6.0390,0.0031,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0001,-1.0000,2.3607,-1.0000,-1.0000,-1.0000,0.0256,0.0000
746775,"Salt, table, iodized",Spices and Herbs,[],1.0 teaspoon,6.1000,6.0390,0.0031,-1.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0000,0.0000,-1.0000,-1.0000,0.0000,0.0001,-1.0000,2.3607,-1.0000,-1.0000,-1.0000,0.0256,0.0000
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve","Soups, Sauces, and Gravies",[],1.0 serving,135.0000,2.2410,0.0365,10.8675,0.0001,68.8500,60.7500,2.4300,0.0011,0.0250,0.0002,-1.0000,0.3105,0.0459,0.4307,1.9035,0.5656,-1.0000,1.9980,-1.0000,117.9900,0.0003
324038,"Sauce, salsa, ready-to-serve","Soups, Sauces, and Gravies",[],2.0 tablespoon,35.7000,0.8211,0.0100,2.4062,0.0000,-1.0000,-1.0000,0.6426,0.0001,0.0054,0.0000,0.0004,0.0821,0.0114,0.0921,0.5141,0.2342,0.0000,0.0678,0.0001,31.8801,0.0001
746777,"Sauce, salsa, ready-to-serve","Soups, Sauces, and Gravies",[],2.0 tablespoon,35.7000,0.8211,0.0100,2.4062,0.0000,12.1380,10.3530,0.6426,0.0001,0.0054,0.0000,0.0004,0.0821,0.0114,0.0921,0.5141,0.2342,0.0000,0.0678,0.0001,31.8801,0.0001
325658,"Sausage, Italian, pork, mild, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,86.6000,2.2776,0.0104,1.8619,0.0001,-1.0000,-1.0000,-1.0000,0.0011,0.0161,0.0000,0.0050,2.5201,0.1256,0.2685,15.7612,0.6634,0.0003,22.6892,0.0003,44.0794,0.0021
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,86.6000,2.2776,0.0104,1.8619,0.0001,274.5220,278.8520,-1.0000,0.0011,0.0161,0.0000,0.0050,2.5201,0.1256,0.2685,15.7612,0.6634,0.0003,22.6892,0.0003,44.0794,0.0021
324157,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Sausages and Luncheon Meats,[],1.0 link,18.6000,0.5524,0.0065,0.6268,0.0000,60.4500,61.1940,-1.0000,0.0003,0.0037,0.0000,0.0005,0.3962,0.0231,0.0489,2.4738,0.1611,0.0000,5.3382,0.0000,9.6162,0.0004
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",Sausages and Luncheon Meats,[],1.0 link,18.6000,0.5524,0.0065,0.6268,0.0000,63.4260,64.3560,-1.0000,0.0003,0.0037,0.0000,0.0005,0.3962,0.0231,0.0489,2.4738,0.1611,0.0000,5.3382,0.0000,9.6162,0.0004
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 cup,185.0000,6.7710,0.0684,4.8655,0.0002,-1.0000,-1.0000,-1.0000,0.0043,0.0557,0.0003,0.0131,5.7165,0.3830,0.8048,35.7050,1.8186,0.0007,51.9850,0.0010,85.6550,0.0041
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 cup,185.0000,6.7710,0.0684,4.8655,0.0002,-1.0000,-1.0000,-1.0000,0.0043,0.0557,0.0003,0.0131,5.7165,0.3830,0.8048,35.7050,1.8186,0.0007,51.9850,0.0010,85.6550,0.0041
332864,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",Sausages and Luncheon Meats,[],1.0 link,80.4000,2.9426,0.0297,2.1145,0.0001,-1.0000,-1.0000,-1.0000,0.0019,0.0242,0.0002,0.0057,2.4844,0.1664,0.3497,15.5172,0.7903,0.0003,22.5924,0.0004,37.2252,0.0018
